Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR22259173,2022-12-13 12:23:04,2022-11-10 23:33:39,30946876,6189375200,30946876,200,1823,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22259/SRR22259173/SRR22259173.lite.1,SRX18235630,GSM6726290,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP407304,PRJNA900301,3,900301,SRS15731658,SAMN31686999,simple,9606,Homo sapiens,GSM6726290,,,,,,,no,,,,,"GENETICS AND GENOMIC SCIENCES, ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI",SRA1539009,,public,F8223DD34AC173E7238C1B8937DE64D0,495E1516AB2C3E225C2600F96CA1FAF8
SRR22259172,2022-12-13 12:23:04,2022-11-10 23:20:00,29780618,5956123600,29780618,200,1757,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22259/SRR22259172/SRR22259172.lite.1,SRX18235631,GSM6726291,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP407304,PRJNA900301,3,900301,SRS15731659,SAMN31686998,simple,9606,Homo sapiens,GSM6726291,,,,,,,no,,,,,"GENETICS AND GENOMIC SCIENCES, ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI",SRA1539009,,public,570E8F79AE4DF716C7BE459729D3E4CA,22DE3278429E320A83C9452B6BB5F777
SRR22259171,2022-12-13 12:23:04,2022-11-10 23:33:37,30799453,6159890600,30799453,200,1826,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22259/SRR22259171/SRR22259171.lite.1,SRX18235632,GSM6726292,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP407304,PRJNA900301,3,900301,SRS15731660,SAMN31686997,simple,9606,Homo sapiens,GSM6726292,,,,,,,no,,,,,"GENETICS AND GENOMIC SCIENCES, ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI",SRA1539009,,public,7E46FAEE9CA11211EB46FBF9548EFE04,7272FBCBA4455318BD83B100C133344D
SRR22259170,2022-12-13 12:23:04,2022-11-10 23:39:03,29805705,5961141000,29805705,200,1749,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22259/SRR22259170/SRR22259170.lite.1,SRX18235633,GSM6726293,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP407304,PRJNA900301,3,900301,SRS15731661,SAMN31686996,simple,9606,Homo sapiens,GSM6726293,,,,,,,no,,,,,"GENETICS AND GENOMIC SCIENCES, ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI",SRA1539009,,public,7595C7A15DD5B1F142D0BC25FCA1DFFE,8C4FAD98FFA2C9CEB17BE21F55B21B03
SRR22259169,2022-12-13 12:23:05,2022-11-10 23:28:01,32759462,6551892400,32759462,200,1924,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22259/SRR22259169/SRR22259169.lite.1,SRX18235634,GSM6726366,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP407304,PRJNA900301,3,900301,SRS15731662,SAMN31686923,simple,9606,Homo sapiens,GSM6726366,,,,,,,no,,,,,"GENETICS AND GENOMIC SCIENCES, ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI",SRA1539009,,public,D624742C39DA0F434B9D88BE1238F164,2263FEC901A0747A612631E8F1A41D6B
SRR22259168,2022-12-13 12:23:05,2022-11-10 23:44:15,37877021,7575404200,37877021,200,2229,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22259/SRR22259168/SRR22259168.lite.1,SRX18235635,GSM6726367,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP407304,PRJNA900301,3,900301,SRS15731663,SAMN31686922,simple,9606,Homo sapiens,GSM6726367,,,,,,,no,,,,,"GENETICS AND GENOMIC SCIENCES, ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI",SRA1539009,,public,910C35929DDA724FD150C18153B2270F,4AAB9625A4ED6BAD422EC53D2D88547D
SRR22259167,2022-12-13 12:23:05,2022-11-10 23:30:32,34672054,6934410800,34672054,200,2036,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22259/SRR22259167/SRR22259167.lite.1,SRX18235636,GSM6726368,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP407304,PRJNA900301,3,900301,SRS15731664,SAMN31686921,simple,9606,Homo sapiens,GSM6726368,,,,,,,no,,,,,"GENETICS AND GENOMIC SCIENCES, ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI",SRA1539009,,public,C69C431FA9E050EB5461B78FD5B56989,B0DA84FBC2D09111B8D781496B726126
SRR22259166,2022-12-13 12:23:05,2022-11-10 23:27:16,34916446,6983289200,34916446,200,2050,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22259/SRR22259166/SRR22259166.lite.1,SRX18235637,GSM6726369,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP407304,PRJNA900301,3,900301,SRS15731665,SAMN31686920,simple,9606,Homo sapiens,GSM6726369,,,,,,,no,,,,,"GENETICS AND GENOMIC SCIENCES, ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI",SRA1539009,,public,C19585AD462222969360B57B478BBDE2,295BEEF5B4942D738231CA1D06D24F1D
SRR22259165,2022-12-13 12:23:05,2022-11-10 23:19:42,29968088,5993617600,29968088,200,1773,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22259/SRR22259165/SRR22259165.lite.1,SRX18235638,GSM6726370,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP407304,PRJNA900301,3,900301,SRS15731666,SAMN31686919,simple,9606,Homo sapiens,GSM6726370,,,,,,,no,,,,,"GENETICS AND GENOMIC SCIENCES, ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI",SRA1539009,,public,E1C37ABDF60D4DAED5DD75C357E08CCF,CD1B622E67E3365D8FBD9B7487140CA2
SRR22259164,2022-12-13 12:23:05,2022-11-10 23:36:22,32827916,6565583200,32827916,200,1941,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22259/SRR22259164/SRR22259164.lite.1,SRX18235639,GSM6726371,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP407304,PRJNA900301,3,900301,SRS15731667,SAMN31686918,simple,9606,Homo sapiens,GSM6726371,,,,,,,no,,,,,"GENETICS AND GENOMIC SCIENCES, ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI",SRA1539009,,public,B9F47C3BAB1F99210AD51C7B12FA8AB1,E2CA19C8F85F23AAA8014F7E7B841E0F
